id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow1.47.4,1819.0,-355037966#4_0,5.1,0.0,12.0,3694.0,758926622_0,154.47,10.7,1875.0,1332.87,12.0,2,1687.0,70.46,0,tripinfo_flow1.47.4 emissions_flow1.47.4,car,0.93,,
flow4.84,3416.0,-758926622_0,5.1,0.0,2.0,3696.0,132346057#5_0,344.19,6.82,280.0,1923.34,29.0,2,0.0,96.13,0,tripinfo_flow4.84 emissions_flow4.84,car,0.93,,
flow4.84.1,3419.0,-758926622_0,5.1,0.0,5.0,3699.0,132346057#5_0,344.19,6.79,280.0,1923.34,25.0,2,0.0,97.17,0,tripinfo_flow4.84.1 emissions_flow4.84.1,car,0.94,,
flow4.84.2,3422.0,-758926622_0,5.1,0.0,8.0,3701.0,132346057#5_0,344.19,7.05,279.0,1923.34,22.0,2,0.0,104.02,0,tripinfo_flow4.84.2 emissions_flow4.84.2,car,0.98,,
flow1.9.5,351.0,-355037966#4_0,5.1,0.0,19.0,3704.0,758926622_0,154.47,8.1,3353.0,1332.87,31.0,3,3099.0,91.61,0,tripinfo_flow1.9.5 emissions_flow1.9.5,car_slow,1.0,,
flow1.9.6,355.0,-355037966#4_0,5.1,0.0,23.0,3711.0,758926622_0,154.47,7.74,3356.0,1332.87,30.0,4,3098.0,91.18,0,tripinfo_flow1.9.6 emissions_flow1.9.6,car_slow,0.9,,
flow1.47.5,1822.0,-355037966#4_0,5.1,0.0,15.0,3712.0,758926622_0,154.47,10.94,1890.0,1332.87,19.0,2,1694.0,76.9,0,tripinfo_flow1.47.5 emissions_flow1.47.5,car,0.89,,
flow1.47.6,1825.0,-355037966#4_0,5.1,0.0,18.0,3714.0,758926622_0,154.47,13.54,1889.0,1332.87,19.0,2,1694.0,77.82,0,tripinfo_flow1.47.6 emissions_flow1.47.6,car,0.93,,
flow1.34,1605.0,-355037966#4_0,5.1,0.0,0.0,3716.0,758926622_0,154.47,13.69,2111.0,1332.87,0.0,0,1955.0,43.35,0,tripinfo_flow1.34 emissions_flow1.34,car,1.0,,
flow1.34.1,1608.0,-355037966#4_0,5.1,0.0,3.0,3717.0,758926622_0,154.47,13.75,2109.0,1332.87,0.0,0,1955.0,44.26,0,tripinfo_flow1.34.1 emissions_flow1.34.1,car,1.07,,
flow1.34.2,1611.0,-355037966#4_0,5.1,0.0,6.0,3719.0,758926622_0,154.47,13.05,2108.0,1332.87,0.0,0,1955.0,45.15,0,tripinfo_flow1.34.2 emissions_flow1.34.2,car,1.13,,
flow4.84.3,3426.0,-758926622_0,5.1,0.0,12.0,3720.0,132346057#5_0,344.19,7.81,294.0,1923.34,58.0,3,0.0,116.31,0,tripinfo_flow4.84.3 emissions_flow4.84.3,car,0.96,,
flow1.34.3,1614.0,-355037966#4_0,5.1,0.0,9.0,3721.0,758926622_0,154.47,12.76,2107.0,1332.87,2.0,2,1955.0,43.18,0,tripinfo_flow1.34.3 emissions_flow1.34.3,car,1.11,,
flow4.84.4,3429.0,-758926622_0,5.1,0.0,15.0,3722.0,132346057#5_0,344.19,7.65,293.0,1923.34,54.0,2,0.0,120.66,0,tripinfo_flow4.84.4 emissions_flow4.84.4,car,1.0,,
flow1.34.4,1617.0,-355037966#4_0,5.1,0.0,12.0,3723.0,758926622_0,154.47,13.37,2106.0,1332.87,0.0,0,1955.0,33.43,0,tripinfo_flow1.34.4 emissions_flow1.34.4,car,0.92,,
flow1.34.5,1620.0,-355037966#4_0,5.1,0.0,15.0,3724.0,758926622_0,154.47,13.68,2104.0,1332.87,1.0,1,1955.0,38.78,0,tripinfo_flow1.34.5 emissions_flow1.34.5,car,1.03,,
flow4.84.5,3432.0,-758926622_0,5.1,0.0,18.0,3727.0,132346057#5_0,344.19,7.56,295.0,1923.34,53.0,2,0.0,122.18,0,tripinfo_flow4.84.5 emissions_flow4.84.5,car,1.0,,
flow4.84.6,3435.0,-758926622_0,5.1,0.0,21.0,3730.0,132346057#5_0,344.19,8.12,295.0,1923.34,50.0,2,0.0,120.92,0,tripinfo_flow4.84.6 emissions_flow4.84.6,car,0.99,,
flow4.95,3451.0,-758926622_0,5.1,0.0,0.0,3732.0,132346057#5_0,344.19,7.92,281.0,1923.34,46.0,1,0.0,115.38,0,tripinfo_flow4.95 emissions_flow4.95,car,1.09,,
