id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow1.47.4,1819.0,-355037966#4_0,5.1,0.0,12.0,2329.0,758926632#3_0,91.01,7.13,510.0,450.84,3.0,3,420.0,41.59,1,tripinfo_flow1.47.4 emissions_flow1.47.4,car,0.93,,
flow1.47.5,1822.0,-355037966#4_0,5.1,0.0,15.0,2337.0,758926632#3_0,91.01,7.0,515.0,450.84,5.0,4,420.0,45.63,1,tripinfo_flow1.47.5 emissions_flow1.47.5,car,0.89,,
flow5.51.2,2198.0,67209282#0_0,5.1,0.0,21.0,2339.0,-67504621_0,163.75,12.62,141.0,732.17,58.0,2,0.0,86.06,0,tripinfo_flow5.51.2 emissions_flow5.51.2,car,1.02,,
flow5.51.3,2201.0,67209282#0_0,5.1,0.0,24.0,2344.0,-67504621_0,163.75,11.9,143.0,732.17,54.0,2,0.0,84.64,0,tripinfo_flow5.51.3 emissions_flow5.51.3,car,0.9,,
flow5.51.4,2204.0,67209282#0_0,5.1,0.0,27.0,2346.0,-67504621_0,163.75,13.75,142.0,732.17,51.0,2,0.0,86.96,0,tripinfo_flow5.51.4 emissions_flow5.51.4,car,1.01,,
flow5.51.5,2207.0,67209282#0_0,5.1,0.0,30.0,2348.0,-67504621_0,163.75,13.24,141.0,732.17,51.0,2,0.0,86.45,0,tripinfo_flow5.51.5 emissions_flow5.51.5,car,1.04,,
flow5.51.6,2210.0,67209282#0_0,5.1,0.0,33.0,2352.0,-67504621_0,163.75,12.8,142.0,732.17,47.0,2,0.0,85.85,0,tripinfo_flow5.51.6 emissions_flow5.51.6,car,0.98,,
flow1.47.6,1825.0,-355037966#4_0,5.1,0.0,18.0,2354.0,758926632#3_0,91.01,6.91,529.0,450.84,9.0,3,425.0,55.5,1,tripinfo_flow1.47.6 emissions_flow1.47.6,car,0.93,,
flow5.59,2238.0,67209282#0_0,5.1,0.0,0.0,2360.0,-67504621_0,163.75,11.25,122.0,732.17,40.0,1,0.0,64.04,0,tripinfo_flow5.59 emissions_flow5.59,car,0.9,,
flow5.59.1,2241.0,67209282#0_0,5.1,0.0,3.0,2362.0,-67504621_0,163.75,12.69,121.0,732.17,40.0,1,0.0,65.89,0,tripinfo_flow5.59.1 emissions_flow5.59.1,car,1.13,,
flow5.59.2,2244.0,67209282#0_0,5.1,0.0,6.0,2364.0,-67504621_0,163.75,13.37,120.0,732.17,40.0,1,0.0,65.73,0,tripinfo_flow5.59.2 emissions_flow5.59.2,car,1.0,,
flow5.59.3,2247.0,67209282#0_0,5.1,0.0,9.0,2368.0,-67504621_0,163.75,12.43,121.0,732.17,40.0,1,0.0,65.04,0,tripinfo_flow5.59.3 emissions_flow5.59.3,car,0.96,,
flow5.59.4,2250.0,67209282#0_0,5.1,0.0,12.0,2371.0,-67504621_0,163.75,13.24,121.0,732.17,39.0,1,0.0,65.52,0,tripinfo_flow5.59.4 emissions_flow5.59.4,car,0.99,,
flow5.59.5,2253.0,67209282#0_0,5.1,0.0,15.0,2375.0,-67504621_0,163.75,12.13,122.0,732.17,39.0,1,0.0,63.95,0,tripinfo_flow5.59.5 emissions_flow5.59.5,car,0.93,,
flow4.47.2,1990.0,-758926622_0,5.1,0.0,19.0,2376.0,132346057#5_0,344.19,9.05,386.0,1923.34,133.0,5,0.0,223.05,0,tripinfo_flow4.47.2 emissions_flow4.47.2,car,1.13,,
flow5.59.6,2257.0,67209282#0_0,5.1,0.0,19.0,2377.0,-67504621_0,163.75,13.36,120.0,732.17,39.0,1,0.0,65.72,0,tripinfo_flow5.59.6 emissions_flow5.59.6,car,1.13,,
