id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.49.3,1935.0,67209282#0_0,5.1,0.0,9.0,2003.0,-67504621_0,163.75,12.33,68.0,732.17,0.0,0,0.0,10.31,0,tripinfo_flow5.49.3 emissions_flow5.49.3,car,0.9,,
flow5.49.4,1938.0,67209282#0_0,5.1,0.0,12.0,2005.0,-67504621_0,163.75,12.09,67.0,732.17,0.0,0,0.0,11.2,0,tripinfo_flow5.49.4 emissions_flow5.49.4,car,0.96,,
flow5.47,1941.0,67209282#0_0,5.1,0.0,9.0,2008.0,-67504621_0,163.75,12.7,67.0,732.17,0.0,0,0.0,12.47,0,tripinfo_flow5.47 emissions_flow5.47,car,1.02,,
flow5.47.1,1944.0,67209282#0_0,5.1,0.0,12.0,2012.0,-67504621_0,163.75,12.87,68.0,732.17,0.0,0,0.0,12.47,0,tripinfo_flow5.47.1 emissions_flow5.47.1,car,1.01,,
flow5.47.2,1947.0,67209282#0_0,5.1,0.0,15.0,2016.0,-67504621_0,163.75,12.8,69.0,732.17,0.0,0,0.0,12.03,0,tripinfo_flow5.47.2 emissions_flow5.47.2,car,0.93,,
flow5.47.3,1950.0,67209282#0_0,5.1,0.0,18.0,2017.0,-67504621_0,163.75,12.98,67.0,732.17,0.0,0,0.0,12.61,0,tripinfo_flow5.47.3 emissions_flow5.47.3,car,1.18,,
flow5.47.4,1953.0,67209282#0_0,5.1,0.0,21.0,2023.0,-67504621_0,163.75,12.13,70.0,732.17,0.0,0,0.0,11.17,0,tripinfo_flow5.47.4 emissions_flow5.47.4,car,0.89,,
flow5.54,1956.0,67209282#0_0,5.1,0.0,2.0,2067.0,-67504621_0,163.75,11.63,111.0,732.17,44.0,1,0.0,57.56,0,tripinfo_flow5.54 emissions_flow5.54,car_fast,0.86,,
flow5.54.1,1959.0,67209282#0_0,5.1,0.0,5.0,2068.0,-67504621_0,163.75,12.79,109.0,732.17,43.0,1,0.0,61.38,0,tripinfo_flow5.54.1 emissions_flow5.54.1,car_fast,1.0,,
flow5.54.2,1962.0,67209282#0_0,5.1,0.0,8.0,2071.0,-67504621_0,163.75,12.48,109.0,732.17,41.0,1,0.0,59.9,0,tripinfo_flow5.54.2 emissions_flow5.54.2,car_fast,0.95,,
